Country Name,Country Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Barbados,BRB,..,..,..,..,435911268.60,860388803.30,1144931139.00,1540893949.00,1950900000.00,2151295182.00,2411872918.00,2874459305.00,3121500000.00,3169600000.00,3514350000.00,4176500000.00,4782000000.00,4529900000.00,4656350000.00,4608350000.00,4529050000.00,..
Belarus,BLR,..,..,..,..,..,..,..,..,17037037037.00,14932024169.00,14756846154.00,15222012660.00,12736856828.00,14594249023.00,23144351852.00,36954312354.00,60763483146.00,58665088956.00,65685102555.00,78813839984.00,47722657821.00,59662495092.00
Belgium,BEL,11658722591.00,15960106681.00,21376353113.00,37408591330.00,71494539498.00,128000000000.00,83795680815.00,163000000000.00,236000000000.00,246000000000.00,281000000000.00,261000000000.00,238000000000.00,259000000000.00,371000000000.00,410000000000.00,519000000000.00,484000000000.00,498000000000.00,531000000000.00,470000000000.00,532000000000.00
Belize,BLZ,28071888.56,36193826.12,44910179.64,66062500.00,96905829.60,197938222.40,214381949.00,320093360.30,518239100.00,580863700.00,641383800.00,688992450.00,832072450.00,932551850.00,1057845500.00,1217442150.00,1368625150.00,1396731700.00,1563827850.00,1692955750.00,1806646250.00,1925000000.00
Benin,BEN,226195579.40,269818988.30,326323097.40,410331901.00,698408244.40,1405251547.00,1051133927.00,1620246187.00,1695315306.00,1598075932.00,2361116588.00,2455092582.00,2569186643.00,3054571082.00,4521424807.00,5142380779.00,7132787397.00,6970240895.00,8152554487.00,9707432016.00,8573159697.00,10358985583.00
Bermuda,BMU,84466654.08,107566650.60,150000000.00,235400000.00,386300000.00,613299968.00,985699968.00,1415100032.00,1679900032.00,1867160064.00,2695390000.00,3130748000.00,3480219000.00,3937228000.00,4484703000.00,5414299000.00,6109928000.00,5744414000.00,5537537000.00,..,..,..
Bhutan,BTN,..,..,..,..,..,135653295.20,169264991.20,283855833.30,250794359.60,270801565.20,316420860.90,376955087.30,439158233.20,537050133.70,702682019.00,897731524.90,1258332337.00,1585472534.00,1823692110.00,1976938530.00,2219675781.00,2534965163.00
Bolivia,BOL,373879363.60,539491477.30,857912457.90,1257615645.00,2731984008.00,4526916803.00,6169501038.00,4597615563.00,5643893347.00,5981244887.00,7396966657.00,8497545598.00,8397912509.00,7905485216.00,8773451739.00,11451869165.00,16674324634.00,19649631451.00,27084497540.00,32996188133.00,33941126194.00,40287647757.00
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,1255802469.00,2786045322.00,4116699437.00,5505887894.00,6651106833.00,10596205714.00,12864610994.00,19112739664.00,17176781337.00,17226849297.00,18558343508.00,16913330694.00,19781776101.00
Botswana,BWA,30412308.99,41613969.05,66248256.62,165258093.90,372010119.60,1060923829.00,1240796365.00,2644536804.00,4146513722.00,4259330999.00,4847752843.00,4790458837.00,5788329609.00,5438857107.00,8957467707.00,10126940513.00,10945070442.00,12786654366.00,16067155187.00,16250750259.00,15646323341.00,18616018903.00
Brazil,BRA,15165569913.00,21211892260.00,33875881876.00,58539008786.00,153000000000.00,235000000000.00,209000000000.00,330000000000.00,401000000000.00,558000000000.00,850000000000.00,864000000000.00,655000000000.00,508000000000.00,669000000000.00,1110000000000.00,1700000000000.00,2210000000000.00,2470000000000.00,2460000000000.00,1800000000000.00,1870000000000.00
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,..,..,160819286.60,270818555.80,1423061357.00,4928824958.00,3782523088.00,2690717551.00,4183548189.00,4087337960.00,5115602837.00,4051147228.00,6001153306.00,5843329108.00,7872333215.00,11470703002.00,14393099069.00,13707370737.00,19048495519.00,17098342541.00,11400653949.00,13567099498.00
Bulgaria,BGR,..,..,..,..,..,19839230769.00,17594944444.00,22555941176.00,10350515464.00,9697416974.00,12184935357.00,14942172234.00,13153016531.00,16276456428.00,25957970922.00,34130122491.00,54409138498.00,50610058210.00,53903022339.00,56814543481.00,53240950226.00,65132951116.00
Burkina Faso,BFA,330442817.20,410321785.60,460442864.20,578595584.00,976547572.20,1928720390.00,1459880353.00,2616040646.00,2240264712.00,1895290965.00,2586550747.00,2804902724.00,2628920056.00,3205592290.00,4838551100.00,5816310158.00,8369637065.00,8979966766.00,11166063467.00,12377391463.00,10886363727.00,14441763759.00
Burundi,BDI,195999990.00,260750008.00,183200000.00,246804571.40,448412753.60,919726666.70,987143931.20,1082403219.00,1083037671.00,925030590.20,869033856.30,893770806.10,870486065.90,825394490.20,915257323.40,1273375020.00,1611835902.00,2032135247.00,2333308099.00,2705783272.00,2959185295.00,3078029929.00
Cabo Verde,CPV,..,..,..,..,..,142246875.50,132019065.00,264308140.30,357160985.30,406580652.30,501979069.30,521910560.50,539227277.60,620974660.20,924318490.80,1107891063.00,1789333749.00,1664310770.00,1751888562.00,1859898513.00,1662998678.00,1986928612.00
Cambodia,KHM,637142865.70,782857128.60,1065714249.00,505549441.40,..,..,..,..,..,2791435272.00,3506695720.00,3120425503.00,3677897739.00,4284028483.00,5337833248.00,7274595707.00,10351914093.00,11242275199.00,14054443213.00,16702610842.00,20016747754.00,24571753583.00
Cameroon,CMR,618740988.00,782384527.80,1053077155.00,1430951332.00,3076592431.00,6740756569.00,7801858825.00,12493286762.00,11396310990.00,10600157684.00,10513387442.00,10612847429.00,10083937740.00,11579343088.00,17430933517.00,19356046328.00,26409781215.00,26143818510.00,29104437355.00,34942948737.00,32621535419.00,38502059858.00
Canada,CAN,41093453545.00,48882938810.00,70759031842.00,113000000000.00,207000000000.00,274000000000.00,355000000000.00,507000000000.00,592000000000.00,578000000000.00,629000000000.00,632000000000.00,742000000000.00,758000000000.00,1020000000000.00,1320000000000.00,1550000000000.00,1610000000000.00,1820000000000.00,1800000000000.00,1530000000000.00,1710000000000.00
Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4227798075.00,..,..,..,..,..,..
Central African Republic,CAF,112155598.90,142025069.50,191767437.00,230317908.00,451152450.00,797048028.80,637820620.70,1264899368.00,1411917558.00,851174350.60,1007791186.00,967338348.70,914500299.10,991387870.10,1270080251.00,1460561215.00,1985240986.00,2140503193.00,2510270268.00,1904794555.00,1844714795.00,2379716827.00
Chad,TCD,313582727.60,392247517.60,453980096.70,585427545.70,866044961.00,1033002402.00,919103735.30,1482597299.00,1881847677.00,1179837955.00,1607345450.00,1744794457.00,1385058162.00,1987622279.00,4414929220.00,7422102656.00,10351932604.00,10657705536.00,12368071039.00,13922223234.00,10090922857.00,11302544205.00
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,5945677377.00,6439703435.00,6663669065.00,8553643354.00,9676172953.00,..,..,..,..,..,..
Chile,CHL,4110000000.00,5982347826.00,7167086957.00,11853817308.00,10341925249.00,29036709872.00,19622527480.00,26040229793.00,45964327559.00,57008425296.00,78039572222.00,81577430181.00,77860932152.00,69736811435.00,99210392858.00,155000000000.00,180000000000.00,219000000000.00,267000000000.00,261000000000.00,250000000000.00,298000000000.00
China,CHN,59716467625.00,59708343489.00,70846535056.00,114000000000.00,154000000000.00,191000000000.00,260000000000.00,312000000000.00,427000000000.00,564000000000.00,864000000000.00,1030000000000.00,1210000000000.00,1470000000000.00,1960000000000.00,2750000000000.00,4590000000000.00,6090000000000.00,8530000000000.00,10400000000000.00,11100000000000.00,13600000000000.00
Colombia,COL,4031152977.00,5973366667.00,5960212869.00,8671358733.00,15341403660.00,33400735644.00,38253120738.00,39212550050.00,58418985443.00,81703500846.00,97160109278.00,98443739941.00,99886577331.00,97963003805.00,117000000000.00,161000000000.00,242000000000.00,286000000000.00,371000000000.00,381000000000.00,283000000000.00,330000000000.00
Comoros,COM,..,..,..,..,..,212218226.40,184697210.00,356500026.70,457388578.90,319189200.40,396053797.60,370106776.00,350264287.70,423962976.70,632570092.20,697810988.10,911967428.70,907093130.30,1015901205.00,1148058015.00,1024261821.00,1203080508.00
"Congo, Dem. Rep.",COD,3359404118.00,2881545273.00,3909780539.00,6173712814.00,9648583225.00,14394927495.00,7857729193.00,8861299977.00,8227343907.00,5820382248.00,5771454940.00,6215591270.00,19088046306.00,8728038525.00,10297483481.00,14451902468.00,19788515874.00,21565720044.00,29306235826.00,35909040266.00,37134799974.00,47227535291.00
"Congo, Rep.",COG,131731862.60,185693724.80,251247458.00,410669262.90,754549600.50,1705796850.00,2193581366.00,2212536313.00,2933222714.00,1769365425.00,2540697688.00,1949481297.00,3219910550.00,3019993739.00,4648628921.00,7731261311.00,11859013281.00,12007880439.00,13677930124.00,14177437982.00,9035848071.00,11263682694.00
Costa Rica,CRI,507513830.00,542578367.20,773841494.30,1238251696.00,2412555426.00,4831447001.00,3660476459.00,4614629898.00,8528593421.00,10432619326.00,11618286652.00,13617405297.00,14949514493.00,16504795593.00,18528955525.00,22602721765.00,30612927861.00,37268616184.00,46473131799.00,50577769785.00,57157995873.00,60126014829.00
Cote d'Ivoire,CIV,546203561.60,921063266.40,1281281246.00,1849400600.00,4662053708.00,10175615442.00,6841638715.00,10255170460.00,11152971316.00,8313557450.00,12139234939.00,12612033729.00,10717022463.00,12346919152.00,16554441555.00,17800887469.00,24224905504.00,24884503951.00,26790577891.00,35316494574.00,35296979104.00,43007045466.00
Croatia,HRV,..,..,..,..,..,..,..,..,..,..,23678012697.00,25432144406.00,21774273832.00,26868450817.00,41523418160.00,50404444703.00,70494603466.00,59865977192.00,56548374545.00,57682343708.00,51623429121.00,60805659436.00
Cuba,CUB,..,..,..,8135150892.00,13789579903.00,19912889861.00,24039383608.00,27458999472.00,22085858243.00,28448326757.00,25017368697.00,25736331247.00,30565400000.00,33590500000.00,38203000000.00,52742800000.00,60806300000.00,64328000000.00,73141000000.00,80656000000.00,91370000000.00,..
Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3131096089.00,3158406034.00,3122287933.00,..
Cyprus,CYP,..,..,..,..,576090073.70,2154311277.00,2278248953.00,4278792597.00,6912150456.00,7425703929.00,10011919699.00,10248619910.00,9985843544.00,11420230769.00,17320550000.00,20072788860.00,27839724623.00,25562264901.00,25041397919.00,23364707443.00,20453761062.00,24469841832.00
Czech Republic,CZE,..,..,..,..,..,..,..,..,34590052812.00,47554674591.00,66985765439.00,66490372105.00,61649492817.00,81910771994.00,119000000000.00,155000000000.00,236000000000.00,207000000000.00,207000000000.00,208000000000.00,195000000000.00,244000000000.00
Denmark,DNK,6248946880.00,9506678763.00,13196541952.00,23232411898.00,44575847808.00,71127592754.00,59105208273.00,116000000000.00,153000000000.00,156000000000.00,188000000000.00,177000000000.00,164000000000.00,179000000000.00,251000000000.00,283000000000.00,353000000000.00,322000000000.00,327000000000.00,353000000000.00,312000000000.00,351000000000.00
Djibouti,DJI,..,..,..,..,..,..,..,395794538.60,478058304.90,491689220.70,494004647.70,514267869.30,551230861.90,591122039.60,666072101.80,768873684.00,999105339.30,1128611700.00,1353632942.00,1455035089.00,1764268469.00,1965982322.00
Dominica,DMA,..,..,..,..,..,72804653.33,109157070.70,171106184.10,234058259.30,264375666.70,292286000.00,322409851.90,333468888.90,333195185.20,367199111.10,390250148.10,458190185.20,493824413.30,485997988.10,523540777.80,575468234.40,503646211.10
Dominican Republic,DOM,672399700.00,1025599900.00,1079100000.00,1987400000.00,3951500000.00,6761300000.00,11594000000.00,5374314928.00,11356271336.00,14664237667.00,18241691857.00,21672526563.00,24305116729.00,27362875603.00,22692574473.00,38116351526.00,48288967303.00,53982886258.00,60657780261.00,66065015410.00,72342967648.00,81298585403.00
Ecuador,ECU,2069465326.00,2244146868.00,2582180794.00,3185987235.00,9091924305.00,17881514683.00,16912515183.00,13051886552.00,18094238119.00,22708673337.00,25226393197.00,27981896948.00,18327764882.00,28548945000.00,36591661000.00,46802044000.00,61762635000.00,69555367000.00,87924544000.00,102000000000.00,99937696000.00,108000000000.00
"Egypt, Arab Rep.",EGY,..,..,5932242991.00,9299638056.00,13315988083.00,21669908177.00,33971188992.00,34980124929.00,41855986519.00,51897983393.00,67629716981.00,84828807556.00,99838543960.00,87850683979.00,78845185293.00,107000000000.00,163000000000.00,219000000000.00,279000000000.00,306000000000.00,333000000000.00,251000000000.00
El Salvador,SLV,..,..,1009760100.00,1263720000.00,2328280100.00,3573959900.00,3661683400.00,4189880000.00,5813399300.00,7679384000.00,9586327800.00,10936669900.00,11784927700.00,12664190300.00,13724810900.00,15999886400.00,17986886200.00,18447920000.00,21386160000.00,22593470000.00,24154120000.00,26056950000.00
Equatorial Guinea,GNQ,..,12712471.40,67514285.71,65429198.24,103653049.90,50642880.77,50320914.41,100534663.30,134707184.40,100807001.80,232463036.40,370687618.70,1045998496.00,1806742742.00,4410764339.00,10086528699.00,19749893536.00,16298542028.00,22389626329.00,21736500713.00,11233177619.00,13317453070.00
Eritrea,ERI,..,..,..,..,..,..,..,..,477101651.60,531688311.70,693535954.20,745526154.90,706370815.60,729321366.70,1109054005.00,1211161880.00,1380188800.00,2117039512.00,..,..,..,..
Estonia,EST,..,..,..,..,..,..,..,..,..,4003096180.00,4746109767.00,5617109245.00,5685774809.00,7322069511.00,12059201242.00,16963625016.00,24194039256.00,19490936349.00,23043864510.00,26615854605.00,23984296771.00,30284890757.00
Eswatini,SWZ,35076158.48,64979280.41,79798404.03,146741251.50,272539098.40,542000513.60,494475699.90,692016714.30,1284766234.00,1419293455.00,1602760100.00,1576904292.00,1738100853.00,1432228125.00,2770082792.00,3291353836.00,3294093485.00,4438778424.00,4823831657.00,4377293816.00,3817430000.00,4703787507.00
Ethiopia,ETH,..,..,..,..,..,..,8096302367.00,10908935749.00,10492993078.00,6927950565.00,8547939731.00,7818224906.00,8242392104.00,7850809498.00,10131187261.00,15280861835.00,27066912635.00,29933790334.00,43310721414.00,55612228234.00,74271281811.00,84355462494.00
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,1107882641.00,1058702725.00,1262669892.00,1688237552.00,1984445416.00,2432415998.00,2320424601.00,2366301252.00,2850743875.00,2689157271.00,..
Fiji,FJI,112328422.10,140032741.50,166952937.10,316650509.00,694552411.70,1202567359.00,1177997414.00,1109976928.00,1531803061.00,1825285158.00,2129266728.00,1656784780.00,1684109743.00,1842691481.00,2727507213.00,3102741451.00,3523185920.00,3140508836.00,3972012571.00,4856963252.00,4926740194.00,5479504926.00
Finland,FIN,5224102196.00,7766655086.00,8823033880.00,14754136507.00,31873171719.00,53685049410.00,52926394935.00,109000000000.00,113000000000.00,103000000000.00,132000000000.00,134000000000.00,126000000000.00,140000000000.00,197000000000.00,217000000000.00,284000000000.00,248000000000.00,257000000000.00,273000000000.00,239000000000.00,276000000000.00
France,FRA,62651474947.00,94906593388.00,130000000000.00,203000000000.00,372000000000.00,701000000000.00,531000000000.00,1020000000000.00,1400000000000.00,1390000000000.00,1610000000000.00,1500000000000.00,1360000000000.00,1490000000000.00,2120000000000.00,2320000000000.00,2920000000000.00,2640000000000.00,2680000000000.00,2850000000000.00,2470000000000.00,2780000000000.00
French Polynesia,PYF,..,..,259590076.30,325843254.70,732286143.30,1362151524.00,1378991403.00,2687472830.00,3558215110.00,3522272321.00,3954696874.00,3775160797.00,3447543138.00,..,..,..,..,..,..,..,..,..
Gabon,GAB,141468977.60,215679855.30,294468564.50,430508357.70,3009409971.00,4279637934.00,3561451562.00,3834503378.00,5592390849.00,4190819314.00,5694040337.00,4483417120.00,5067865321.00,5310381151.00,7756293575.00,10318424464.00,15508574820.00,14358584300.00,17171447372.00,18179752010.00,14014369642.00,17017401832.00
"Gambia, The",GMB,..,..,41160658.57,59161545.00,112189468.50,241080708.90,177338801.90,266673126.20,714255460.50,746491692.60,848237108.60,840285264.60,782915402.40,578236035.10,578785951.40,655070067.70,965781078.20,951806368.70,910026155.70,1259063631.00,1442298542.00,1624464137.00
Georgia,GEO,..,..,..,..,..,..,..,..,3690328964.00,2513870587.00,3094855183.00,3613498175.00,3057424694.00,3395773557.00,5125365192.00,7745394293.00,12795076469.00,11638500814.00,15846484588.00,16509316418.00,14378036929.00,16209818081.00
Germany,DEU,..,..,..,299000000000.00,518000000000.00,947000000000.00,722000000000.00,1400000000000.00,2120000000000.00,2210000000000.00,2500000000000.00,2240000000000.00,1950000000000.00,2080000000000.00,2820000000000.00,3000000000000.00,3750000000000.00,3420000000000.00,3540000000000.00,3900000000000.00,3500000000000.00,4000000000000.00
Ghana,GHA,1217230038.00,1731296119.00,1666910166.00,2112292945.00,2765254237.00,4445228216.00,4412279843.00,5197840979.00,6413901602.00,5444560669.00,6934984709.00,7480968858.00,4983024408.00,6166330136.00,8881368538.00,20409668522.00,28526891010.00,32174772956.00,41939728979.00,53601126665.00,55009730589.00,65556464056.00
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,4446528165.00,6680298251.00,9915140546.00,16885506818.00,31152840485.00,56829663469.00,48020024788.00,76261278405.00,116000000000.00,117000000000.00,146000000000.00,144000000000.00,130000000000.00,154000000000.00,241000000000.00,273000000000.00,354000000000.00,299000000000.00,246000000000.00,237000000000.00,195000000000.00,218000000000.00
Greenland,GRL,..,..,..,106101175.70,240780413.60,476055288.40,379371608.40,898611007.90,1037921837.00,1005879948.00,1197509787.00,1149862703.00,1068030830.00,1169138789.00,1822486689.00,2013099482.00,2499107511.00,2503156061.00,2609667674.00,2842048998.00,2713534471.00,..
Grenada,GRD,..,..,..,..,..,110900457.00,145533310.70,236357523.70,310160444.40,325111814.80,366911444.40,445903592.60,520044370.40,540336925.90,599118592.60,698700666.70,825976037.00,771013259.30,799882259.30,911497407.40,1061631222.00,1207454556.00
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,3385000000.00,3857000000.00,4213000000.00,4621000000.00,4895000000.00,5199000000.00,5538000000.00,5793000000.00,..
Guatemala,GTM,1043599900.00,1299099900.00,1610500000.00,2101300000.00,4365300200.00,7878700000.00,9470000100.00,7841602824.00,10440842165.00,12983235568.00,15674835615.00,19395491993.00,19288827159.00,20776669467.00,23965275996.00,30231249362.00,39136954232.00,41338521638.00,50388460925.00,58722323918.00,68663653469.00,78460447920.00
Guinea,GIN,..,..,..,..,..,..,..,2384295764.00,3284625277.00,3383218923.00,3869032271.00,3588376057.00,2995360969.00,2949637039.00,3666349049.00,4220019243.00,6964179194.00,6853467858.00,7638045254.00,8778473615.00,8604520929.00,10989790256.00
Guinea-Bissau,GNB,..,..,..,87702828.57,112386489.00,110653830.70,138478900.60,164458120.30,226313443.70,235620043.50,270419779.40,206457544.50,370173838.70,415843482.00,531109356.20,591839470.70,864654795.30,849050127.50,989327811.80,1053512334.00,1178204501.00,1458156026.00
Guyana,GUY,170215248.20,194773376.90,229750000.00,285380952.40,454440000.00,603200000.00,437631605.30,413799990.00,373573141.50,540874934.20,705406001.40,717530683.20,712667896.70,726131434.70,787814379.20,1458453715.00,1916994912.00,2273225042.00,2861562266.00,3077643314.00,3504024213.00,3610435299.00
Haiti,HTI,273187200.00,325281200.00,367968800.00,372000000.00,879000000.00,1383800000.00,1816200000.00,2613926800.00,2257121668.00,2167564195.00,2907514523.00,3723909227.00,3953846311.00,3472191962.00,3537720277.00,4756204070.00,6548530572.00,6622541529.00,7890216508.00,8776350790.00,7975563430.00,9658084644.00
Honduras,HND,335650000.00,457000000.00,646800000.00,802999950.00,1347999950.00,3968160046.00,4915311846.00,5902717092.00,4943700431.00,4642280682.00,5215028986.00,6366340266.00,7103507989.00,7775075858.00,8772170427.00,10841723354.00,13789727210.00,15729644901.00,18400538970.00,19618567447.00,21566622850.00,23803230473.00
"Hong Kong SAR, China",HKG,1320796652.00,2206466461.00,2716964388.00,5710107420.00,12876366009.00,28861759209.00,33511383986.00,59707404561.00,104000000000.00,136000000000.00,160000000000.00,169000000000.00,172000000000.00,166000000000.00,169000000000.00,194000000000.00,219000000000.00,229000000000.00,263000000000.00,291000000000.00,321000000000.00,363000000000.00
Hungary,HUN,..,..,..,..,..,..,..,..,38724945368.00,43160392124.00,46659796773.00,48770466839.00,47310623887.00,67716887203.00,104000000000.00,115000000000.00,158000000000.00,131000000000.00,128000000000.00,140000000000.00,126000000000.00,156000000000.00
Iceland,ISL,248434097.00,434267936.90,474399471.60,840914457.30,1671997859.00,3386501918.00,2868747035.00,6115814935.00,7091625419.00,6399064571.00,7438183247.00,8494094643.00,9003639475.00,9294651863.00,13834751482.00,17216417442.00,17905251832.00,13683689802.00,14724078264.00,17758089312.00,20716024757.00,25878475760.00
India,IND,37029884762.00,56480291292.00,53085457141.00,71463195541.00,103000000000.00,186000000000.00,212000000000.00,297000000000.00,288000000000.00,327000000000.00,393000000000.00,421000000000.00,468000000000.00,515000000000.00,709000000000.00,940000000000.00,1200000000000.00,1680000000000.00,1830000000000.00,2040000000000.00,2290000000000.00,2730000000000.00
Indonesia,IDN,..,..,7076465295.00,10997590361.00,37269156627.00,72482337370.00,84853699994.00,84300174477.00,128000000000.00,177000000000.00,227000000000.00,95445547873.00,165000000000.00,196000000000.00,257000000000.00,365000000000.00,510000000000.00,755000000000.00,918000000000.00,891000000000.00,932000000000.00,1040000000000.00
"Iran, Islamic Rep.",IRN,4199134390.00,5379845647.00,8623172960.00,17153463264.00,68055295080.00,94362275580.00,162000000000.00,123000000000.00,..,71841461173.00,120000000000.00,110000000000.00,110000000000.00,129000000000.00,190000000000.00,266000000000.00,406000000000.00,487000000000.00,599000000000.00,434000000000.00,419000000000.00,..
Iraq,IRQ,1684121535.00,2340521143.00,2896947634.00,4113848002.00,17754825601.00,53405689130.00,46802508845.00,62503055645.00,..,..,..,..,..,..,36627901762.00,65140293688.00,132000000000.00,139000000000.00,218000000000.00,235000000000.00,170000000000.00,226000000000.00
Ireland,IRL,1939329775.00,2766608946.00,3278584478.00,6325627459.00,9465078121.00,21773901117.00,20130728188.00,37818133293.00,55985505025.00,57166035571.00,75880630166.00,90082051923.00,99852958356.00,128000000000.00,194000000000.00,232000000000.00,275000000000.00,222000000000.00,225000000000.00,259000000000.00,302000000000.00,376000000000.00
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,1023086919.00,1382548250.00,1563667800.00,1947408065.00,2822228369.00,3422651334.00,5928601103.00,5920177689.00,6433357030.00,7428280402.00,6592627599.00,..
Israel,ISR,2598500000.00,3405333333.00,4619000000.00,8762502920.00,15161005053.00,24129341375.00,29118011069.00,50026450721.00,75496948955.00,86216971147.00,110000000000.00,116000000000.00,132000000000.00,121000000000.00,135000000000.00,154000000000.00,216000000000.00,234000000000.00,257000000000.00,310000000000.00,319000000000.00,370000000000.00
