Country Name,Country Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Cayman Islands,CYM,7865,8298,8631,10133,13025,16212,18670,22761,27780,30514,34065,38329,42303,45351,47902,50740,53836,56672,58958,60848,62569,64174
Central African Republic,CAF,1501668,1608616,1744194,1867782,1997014,2199356,2478382,2693973,2959236,3135015,3308233,3475492,3640427,3802128,3959875,4118069,4273366,4386768,4436415,4464175,4537687,4666377
Chad,TCD,3001609,3246523,3499362,3815260,4173135,4514430,4957558,5589626,6356748,6781053,7250975,7770048,8355654,9019233,9734767,10457124,11183588,11952136,12784750,13663559,14561666,15477751
Channel Islands,CHI,109420,113773,118726,123614,126902,128212,132446,138245,142006,142863,144335,146498,148443,149596,150716,153008,156433,159734,162056,164100,166923,170499
Chile,CHL,8132990,8821858,9468845,10103674,10756878,11419348,12078135,12847708,13719819,14166340,14587370,14977733,15342353,15684409,16014971,16354504,16708258,17062536,17400347,17758959,18209068,18729160
China,CHN,667070000,698355000,774510000,862030000,930685000,981235000,1036825000,1101630000,1164970000,1191835000,1217550000,1241935000,1262645000,1280400000,1296075000,1311020000,1324655000,1337705000,1350695000,1364270000,1378665000,1392730000
Colombia,COL,16057724,18175185,20393699,22516425,24608113,26900506,29331238,31822525,34422569,35758979,37076387,38364309,39629968,40875360,42075955,43200897,44254975,45222700,46076848,46969209,48171392,49648685
Comoros,COM,191121,203753,220575,239235,265953,307829,345466,387963,436448,462277,488627,515385,542357,569479,597228,626425,657229,689692,723871,759390,795592,832322
"Congo, Dem. Rep.",COD,15248251,16903831,18913878,21121363,23560464,26358908,29119673,32443781,37333914,40252975,42757243,44849967,47105826,49871666,53068880,56578037,60411195,64563854,69020747,73767447,78789127,84068091
"Congo, Rep.",COG,1018253,1125352,1253760,1406522,1582358,1777934,1996995,2231465,2489952,2632345,2785810,2951647,3127411,3310387,3510468,3745141,4011486,4273731,4510198,4736974,4980999,5244363
Costa Rica,CRI,1330782,1539941,1747694,1944169,2148677,2389977,2664223,2960929,3286520,3458834,3632362,3803887,3962372,4100925,4225155,4345412,4463125,4577378,4688000,4795396,4899345,4999441
Cote d'Ivoire,CIV,3503553,4071411,4713135,5576038,6713950,8033650,9530107,11094748,12812421,13735433,14665127,15589414,16454668,17231539,17970494,18754916,19605569,20532950,21547188,22647683,23822714,25069229
Croatia,HRV,4140181,4252876,4365628,4450564,4535934,4599782,4680285,4755207,4575818,4652024,4557097,4532135,4468302,4302174,4304600,4311159,4309705,4295427,4267558,4238389,4174349,4089400
Cuba,CUB,7141250,7793262,8413552,9025345,9554188,9849459,10031649,10397511,10736387,10838462,10939293,11038692,11126430,11199651,11250365,11261248,11236971,11225832,11257101,11306902,11335109,11338138
Curacao,CUW,124826,133148,140298,147710,149399,148041,151940,149254,143912,144630,146306,144472,133860,129205,134192,141239,145880,148703,152088,155909,159664,159849
Cyprus,CYP,572930,578625,598495,627998,657527,685405,697714,736474,800611,837110,873423,908702,943290,976964,1010408,1045507,1081563,1112612,1135046,1152285,1170187,1189265
Czech Republic,CZE,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10333587,10315241,10294373,10255063,10196916,10197101,10238905,10384603,10474410,10510785,10525347,10566332,10625695
Denmark,DNK,4579603,4722072,4864883,4991596,5072596,5123027,5111619,5129516,5171370,5206180,5263074,5304219,5339616,5375931,5404523,5437272,5493621,5547683,5591572,5643475,5728010,5797446
Djibouti,DJI,83636,107583,140462,179224,248556,358960,406017,528999,615054,622366,643654,680463,717584,746942,771603,794563,816358,840198,868136,898696,929112,958920
Dominica,DMA,60011,63926,69040,71731,72654,75314,73851,71208,70544,71043,70936,70185,69650,69837,70382,70718,70827,70878,70965,71085,71307,71625
Dominican Republic,DOM,3294224,3757132,4247558,4755459,5275770,5803927,6331764,6863441,7408342,7683707,7952763,8214426,8471321,8724975,8974444,9218686,9458075,9695121,9930911,10165178,10397743,10627165
Ecuador,ECU,4543666,5093854,5725459,6429379,7187787,7989186,8843462,9755579,10716129,11208001,11703174,12198449,12681123,13143465,13596388,14059384,14535739,15011117,15474102,15951838,16491115,17084357
"Egypt, Arab Rep.",EGY,26632894,29644875,32881848,36102659,39422730,43309063,47968642,53399246,58666814,61095804,63601629,66200269,68831561,71485043,74172073,76873663,79636079,82761235,86422240,90424654,94447072,98423595
El Salvador,SLV,2766324,3109563,3481624,3867309,4247502,4591134,4871035,5133274,5416323,5561919,5689938,5797765,5887936,5962136,6023797,6079399,6131764,6183875,6237923,6295128,6356143,6420744
Equatorial Guinea,GNQ,255333,270618,299413,289501,247962,249929,331552,394961,447266,479098,515853,558492,606181,658384,716949,784496,860840,943639,1031191,1122276,1215179,1308974
Eritrea,ERI,1007590,1118159,1242635,1384797,1547975,1733416,1946305,2185605,2257596,2218430,2196464,2206432,2292416,2481058,2719803,2918205,3062779,3170435,..,..,..,..
Estonia,EST,1211537,1277086,1331214,1392518,1439576,1477219,1518617,1561900,1533091,1462514,1415594,1386156,1396985,1379350,1362550,1346810,1337090,1331475,1322696,1314545,1315790,1320884
Eswatini,SWZ,336583,365122,406506,457039,515599,587858,675239,773768,866993,907620,945508,979918,1005435,1019059,1026286,1036092,1049945,1064837,1079288,1095021,1113984,1136191
Ethiopia,ETH,22151278,24397022,26944390,30140804,33128149,35141712,39374348,44757203,51423585,55180998,58883530,62507724,66224804,70142091,74239505,78489206,82916235,87639964,92726971,98094253,103603501,109224559
Faroe Islands,FRO,34615,36406,38124,39925,41722,43337,44891,46830,46739,45856,45615,46096,46735,47233,47600,47792,47820,47814,47843,47960,48173,48497
Fiji,FJI,393481,450542,498940,542844,587557,635307,700483,722930,744469,765609,784386,800157,811006,815257,817860,827870,845361,859818,865069,866453,872399,883483
Finland,FIN,4429634,4548543,4626469,4639657,4725664,4779535,4881803,4946481,5041992,5088333,5124573,5153498,5176209,5200598,5228172,5266268,5313399,5363352,5413971,5461512,5495303,5518050
France,FRA,46621669,49230595,51175508,52793138,54220022,55161527,56337666,57627105,58851217,59327192,59753100,60186288,60912500,61805267,62704895,63621381,64374984,65027507,65659809,66316100,66859768,66987244
French Polynesia,PYF,78076,90139,103342,118440,135549,153301,172249,191266,207245,214197,222322,231570,240686,248972,255992,261010,264061,266455,268998,271705,274575,277679
Gabon,GAB,500928,524895,565766,611704,661402,726328,805115,898469,1002579,1057255,1112955,1170061,1228360,1288315,1353795,1430152,1518540,1624140,1749682,1883800,2007873,2119275
"Gambia, The",GMB,365047,396011,438603,492426,557805,637246,725694,873444,1027475,1094212,1164091,1238125,1317703,1404261,1496527,1591445,1689285,1793196,1905011,2024042,2149139,2280102
Georgia,GEO,3645600,3870300,4042300,4205300,4342400,4467700,4622200,4790700,4873500,4836076,4491699,4243607,4077131,3978515,3927340,3880347,3848449,3786695,3728874,3719414,3727505,3731000
Germany,DEU,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81438348,81914831,82047195,82211508,82488495,82516260,82376451,82110097,81776930,80425823,80982500,82348669,82927922
Ghana,GHA,6635230,7524472,8321770,9229631,10199165,11056116,12405660,13947042,15653336,16561674,17462496,18357156,19278856,20246381,21272323,22379055,23563825,24779619,25996449,27224472,28481946,29767108
Gibraltar,GIB,23420,25479,27685,29358,30180,30065,29283,29159,28840,28602,28971,29947,31077,32102,32928,33417,33559,33585,33646,33725,33737,33718
Greece,GRC,8331725,8510429,8740765,8888628,9188150,9642505,9895801,10036983,10399061,10512922,10608800,10720509,10805808,10902022,10955141,11020362,11077841,11121341,11045011,10892413,10775971,10727668
Greenland,GRL,32500,37600,43400,48300,49700,50200,52700,54800,55300,55500,55900,56100,56200,56609,56911,56774,56328,56905,56810,56295,56186,56025
Grenada,GRD,89932,94123,94927,93983,91475,89032,98477,98120,97165,99352,101001,102021,102833,103634,104347,104933,105456,106233,107446,108902,110261,111454
Guam,GUM,66742,73051,80217,87587,95385,104133,113961,124673,136692,142802,148060,152277,155329,157176,158101,158648,159036,159444,159996,161016,162951,165768
Guatemala,GTM,4210747,4730540,5311615,5941567,6599214,7283459,8042897,8842575,9708544,10172297,10646674,11133501,11650743,12208848,12796925,13397021,14006428,14630417,15270778,15923243,16583060,17247807
Guinea,GIN,3494162,3735916,4013055,4290534,4559242,4871435,5326362,5982486,6716038,7081116,7463782,7860781,8240730,8586074,8925743,9307425,9738792,10192176,10652029,11150977,11738441,12414318
Guinea-Bissau,GNB,616136,641812,680432,732523,770421,781677,851276,933045,1020350,1066346,1110833,1154371,1201301,1254453,1313492,1377581,1446936,1522599,1604979,1692439,1782437,1874309
Guyana,GUY,571819,637845,686146,721948,754101,780153,775219,750639,748602,758896,760795,753778,746715,744789,745737,746343,746817,749436,755399,763380,771366,779004
Haiti,HTI,3866159,4177637,4509813,4837332,5191632,5643173,6194687,6758223,7319493,7602320,7887304,8174680,8463806,8754150,9047077,9344785,9646580,9949322,10250930,10549008,10839970,11123176
Honduras,HND,2038632,2280048,2560727,2882113,3251145,3678279,4154860,4677024,5244678,5548960,5874809,6220406,6574509,6929265,7282953,7634298,7980955,8317470,8640691,8955589,9270795,9587522
"Hong Kong SAR, China",HKG,3075605,3504600,3802700,4123600,4518000,5063100,5397900,5627600,5800500,6035400,6435500,6543700,6665000,6744100,6783500,6857100,6957800,7024200,7150100,7229500,7336600,7451000
Hungary,HUN,9983967,10119835,10255815,10398489,10598677,10711122,10668095,10596487,10369341,10343355,10311238,10266570,10210971,10158608,10107146,10071370,10038188,10000023,9920362,9866468,9814023,9768785
Iceland,ISL,175574,188983,201488,209137,220154,228138,239511,249740,261057,266021,268916,274047,281205,287523,292074,303782,317414,318041,320716,327386,335439,353574
India,IND,450547679,488848135,531513824,581087256,637630087,698952844,766833410,837468930,909307016,945601831,982365243,1019483581,1056575549,1093317189,1129623456,1165486291,1200669765,1234281170,1265782790,1295604184,1324509589,1352617328
Indonesia,IDN,87751068,97596733,108779924,121017314,133966941,147447836,161523347,174975954,187739786,193917462,199901228,205724592,211513823,217357793,223285676,229318262,235469762,241834215,248452413,255129004,261554226,267663435
"Iran, Islamic Rep.",IRN,21906914,24307860,27032571,30075297,33733961,38650246,45472791,53077313,58780370,60590614,62294920,63971836,65623405,67284796,68951281,70554760,72120604,73762519,75539862,77465753,79564016,81800269
Iraq,IRQ,7289760,8122197,9260682,10599668,12068676,13653354,15190393,16612322,18402734,19539340,20783073,22114324,23497585,24931919,26313838,27448124,28385746,29741976,31890011,34411951,36610632,38433600
Ireland,IRL,2828600,2866550,2915550,3036850,3238050,3412800,3532423,3524949,3558430,3590386,3637510,3712696,3805174,3931947,4070262,4273591,4489544,4560155,4599533,4657740,4755335,4853506
Isle of Man,IMN,48442,49391,53254,57166,60380,63551,63807,67926,71254,71661,72878,74943,76941,78318,79520,81285,83508,84857,84533,83488,83287,84077
Israel,ISR,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5399000,5692000,5971000,6289000,6570000,6809000,7053700,7308800,7623600,7910500,8215700,8546000,8883800
Italy,ITA,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56843400,56860281,56906744,56942108,57059007,57685327,58143979,58826731,59277417,59539717,60789140,60627498,60431283
Jamaica,JAM,1628520,1730738,1825879,1935100,2055365,2162846,2306366,2389411,2461049,2509043,2558637,2608873,2654701,2692845,2725015,2754407,2781876,2810460,2842132,2875136,2906238,2934855
Japan,JPN,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,124961000,125757000,126400000,126843000,127445000,127761000,127854000,128063000,128070000,127629000,127276000,126994511,126529100
Jordan,JOR,933102,1102399,1500163,1883935,2123180,2377995,2784463,3256558,3977672,4410359,4732854,4943975,5122493,5317506,5580244,5991540,6556478,7261539,8090872,8920049,9551467,9956011
Kazakhstan,KAZ,9934563,11511847,12611426,13463985,14212145,14796174,15483419,16206002,16439095,16095199,15577894,15071300,14883626,14858948,15012985,15308084,15674000,16321872,16792089,17288285,17794055,18276499
Kenya,KEN,8120080,9222692,10539894,12146068,14096263,16417197,19146400,22153676,25326078,26950513,28589451,30250488,31964557,33751739,35635271,37649033,39791981,42030676,44343410,46699981,49051686,51393010
Kiribati,KIR,41202,45399,49363,52780,55924,59301,62744,69089,74766,76670,78903,81556,84396,87305,90499,94343,98761,102927,106370,109391,112524,115847
"Korea, Dem. People’s Rep.",PRK,11424176,12282419,13609982,15207771,16554746,17472140,18590138,19708323,20937404,21577982,22113438,22536753,22929075,23339453,23732731,24054864,24310142,24548836,24800612,25057752,25307744,25549819
"Korea, Rep.",KOR,25012374,27984155,30838302,33505406,35848523,38123775,40405956,42031247,43747962,44641540,45524681,46286503,47008111,47644736,48082519,48438292,49054708,49554112,50199853,50746659,51245707,51635256
Kosovo,XKX,947000,1050000,1163000,1278000,1400000,1521000,1647000,1791000,1932000,1997000,2059000,1966000,1700000,1702310,1704622,1719536,1747383,1775680,1805200,1821800,1816200,1845300
Kuwait,KWT,269029,423898,632899,851916,1085861,1368677,1652150,2034857,..,..,1626857,1831119,2045123,2136997,2200492,2373672,2656009,2991884,3348853,3690942,3956873,4137309
Kyrgyz Republic,KGZ,2172300,2495300,2818300,3088200,3358700,3617400,3916400,4218400,4515400,4515100,4628400,4769000,4898400,4990700,5104700,5218400,5318700,5447900,5607200,5835500,6079500,6315800
Lao PDR,LAO,2120898,2327137,2556852,2840841,3098973,3258144,3586316,4020811,4500351,4735845,4951195,5144602,5323700,5493246,5662208,5846074,6046620,6249165,6444530,6639756,6845846,7061507
Latvia,LVA,2120979,2240623,2323619,2395674,2470989,2511701,2562047,2653434,2614338,2520742,2457222,2410019,2367550,2310173,2263122,2218357,2177322,2097555,2034319,1993782,1959537,1926542
Lebanon,LBN,1804941,2041229,2210772,2417836,2596406,2588929,2638054,2684675,3076132,3403357,3610665,3693520,3842778,4182205,4569378,4759753,4764741,4953061,5538634,6262410,6711121,6848925
Lesotho,LSO,837270,903763,983685,1077095,1193521,1340255,1489691,1630996,1782285,1861324,1934291,1997516,2032804,2029829,2005940,1989939,1987129,1995581,2014990,2043437,2075001,2108132
Liberia,LBR,1118657,1217901,1333978,1474567,1645836,1853001,2111671,2134097,2001624,1986493,2160478,2517481,2848456,3024729,3135651,3329211,3607860,3891356,4135659,4359505,4586788,4818977
Libya,LBY,1448417,1667825,1958914,2327490,2754696,3219466,3746715,4220450,4650885,4854875,5036171,5196780,5357891,5531089,5710154,5886872,6058748,6197663,6285750,6362037,6492164,6678567
Liechtenstein,LIE,16493,18168,20235,22151,23931,25879,27036,28129,29553,30426,31348,32311,33184,33879,34452,34970,35471,35994,36615,37223,37658,37910
Lithuania,LTU,2778550,2935200,3078850,3213622,3328664,3413202,3514205,3655049,3700114,3657144,3601613,3549331,3499536,3443067,3377075,3269909,3198231,3097282,2987773,2932367,2868231,2789533
Luxembourg,LUX,313970,327750,335850,346600,360731,364150,365998,373450,392175,402925,414225,424700,436300,446175,458095,472637,488650,506953,530946,556319,582014,607728
"Macao SAR, China",MAC,167791,193561,233000,248767,239075,238071,271918,320773,362311,377798,393373,409616,427782,448821,471597,493799,515239,538219,564039,590208,612836,631636
Madagascar,MDG,5099373,5625164,6234465,6946620,7773449,8716553,9780872,10952395,12301336,13066543,13902688,14808791,15766806,16765117,17802997,18880269,19996473,21151640,22346641,23589887,24894380,26262368
Malawi,MWI,3659984,4032371,4464423,4958549,5545651,6250440,6964607,8636690,9685973,9745690,10022789,10552338,11148758,11713664,12301838,12973699,13727890,14539612,15396005,16289540,17205289,18143315
Malaysia,MYS,8156347,9253842,10297983,11324277,12468689,13798085,15192298,17022465,19002656,19977500,21017613,22114654,23194257,24208391,25190652,26201961,27236006,28208035,29068159,29866559,30684804,31528585
Maldives,MDV,89863,100171,109891,123354,140563,158272,182850,209785,236265,248588,259183,268455,279398,294186,311265,327487,343452,365734,397237,435015,475513,515696
Mali,MLI,5263733,5503752,5780835,6147458,6596728,7090126,7694855,8171522,8850334,9334880,9837571,10360561,10946445,11616887,12369070,13203378,14113577,15049353,15979499,16934220,17965429,19077690
Malta,MLT,326550,321250,307900,302450,305774,316645,330593,347325,367618,374797,379905,385287,390087,395969,401268,405308,409379,414508,420028,434558,455356,483530
Marshall Islands,MHL,14662,16710,18961,22341,26552,30576,36557,44083,49245,50215,50533,50356,50753,52370,54476,55767,56174,56366,56717,57179,57735,58413
Mauritania,MRT,850384,956799,1079580,1217446,1370357,1540640,1730738,1930433,2142645,2255516,2372901,2496216,2630219,2778099,2939247,3111906,3296238,3494195,3706554,3930896,4163534,4403319
Mauritius,MUS,659351,736381,798413,852053,906507,966039,1012221,1043239,1084441,1112846,1133996,1160421,1186873,1204621,1221003,1233996,1244121,1250400,1255882,1260934,1263473,1265303
Mexico,MEX,37771859,42771079,48431972,54689943,61242190,67761372,74352631,80788721,87075138,90156400,93147044,96056321,98899845,101684758,104514932,107560153,110815271,114092963,117274155,120355128,123333376,126190788
"Micronesia, Fed. Sts.",FSM,44514,50468,58388,62279,64361,72930,83195,91985,101389,106030,108321,108208,107402,107030,106625,105371,103543,102911,104506,107446,110215,112640
Moldova,MDA,2544000,2774000,2960000,3131000,3284000,3396000,3536000,3660000,3706000,3690000,3667748,3652732,3639592,3623062,3603945,3585209,3570108,3562045,3559519,3556397,3551954,3545883
Monaco,MCO,22452,23236,23304,24051,25524,26745,28510,29229,29865,30435,30995,31556,32147,32806,33500,34190,34872,35612,36460,37322,38070,38682
Mongolia,MNG,955505,1074514,1207104,1356670,1520865,1689622,1871090,2089715,2243495,2280479,2316568,2355664,2397418,2443271,2496391,2558856,2631898,2719896,2824699,2940108,3056359,3170208
Montenegro,MNE,480579,521753,517481,521785,552562,572608,600884,607413,608516,611389,611003,607662,604950,609828,613353,615025,616969,619428,620601,621810,622303,622345
Morocco,MAR,12328532,13857649,15307273,16696891,18198844,19990012,22002643,23903592,25711406,26584478,27383473,28110443,28793679,29454768,30115214,30804683,31536811,32343389,33241898,34192347,35126296,36029138
Mozambique,MOZ,7184869,7857104,8614447,9446240,10443953,11630194,12636116,12758008,13806001,14948048,15960442,16813949,17711927,18764155,19910552,21080110,22276596,23531574,24862648,26286163,27829942,29495962
Myanmar,MMR,21736942,23717788,26015248,28570097,31314341,34224313,37241527,40085651,42401684,43383428,44452206,45611220,46719701,47702171,48564484,49301050,49929642,50600818,51413698,52280807,53045226,53708395
Namibia,NAM,634142,698796,773422,868958,971121,1057727,1162279,1336536,1516958,1591822,1663378,1731639,1794571,1851523,1907745,1971317,2043394,2118874,2194784,2273430,2358041,2448255
Nauru,NRU,4375,5592,6337,6803,7286,7741,8328,9062,10030,10498,10672,10565,10337,10102,9902,9828,9891,10005,10279,11853,13049,12704
Nepal,NPL,10105050,10783967,11603928,12583140,13719471,15016402,16477473,18020753,19938320,21040904,22090352,23057883,23941110,24725627,25419344,26066693,26666576,27013212,26989862,26906926,27261131,28087871
Netherlands,NLD,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15382838,15530498,15707209,15925513,16148929,16281779,16346101,16445593,16615394,16754962,16865008,17030314,17231017
New Caledonia,NCL,79000,88100,99500,125500,134000,140050,151650,163650,179799,189482,197564,205279,213230,221490,228750,235750,242750,249750,259000,268050,276550,284060
New Zealand,NZL,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3620000,3732000,3815000,3857700,3948500,4087500,4184600,4259800,4350700,4408100,4509700,4693200,4885500
Nicaragua,NIC,1773129,2006481,2264623,2558699,2894972,3265519,3642976,3995533,4364512,4559006,4741578,4910647,5069302,5219328,5364935,5513763,5667432,5824065,5982526,6142733,6303974,6465513
Niger,NER,3388764,3802803,4263927,4768227,5335085,5989004,6719309,7548433,8566770,9168312,9826598,10545716,11331557,12189983,13125916,14143971,15250908,16464025,17795191,19240157,20788838,22442948
Nigeria,NGA,45138458,49066760,53506196,58665808,65221378,73423633,81448755,90395271,100161710,105293700,110668794,116319759,122283850,128596076,135320422,142538308,150269623,158503197,167228767,176404902,185960289,195874740
North Macedonia,MKD,1488667,1569142,1672399,1754956,1825552,1924197,1974415,1995513,1988659,1981703,1989443,2012057,2034819,2048928,2057048,2063131,2067313,2070741,2074278,2077775,2080745,2082958
Northern Mariana Islands,MNP,9979,10783,12140,13882,15026,16633,25500,40288,46476,45364,47521,52997,57453,58420,57246,55882,54625,53971,54311,55305,56188,56882
Norway,NOR,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4336613,4381336,4431464,4490967,4538159,4591910,4660677,4768212,4889252,5018573,5137232,5234519,5314336
