Year,Country,Medal,Value Points
1968,CAN,Bronze,1
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Gold,3
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,TCH,Silver,2
1968,FRG,Bronze,1
1968,FRG,Bronze,1
1968,GDR,Gold,3
1968,GDR,Gold,3
1968,AUT,Silver,2
1968,AUT,Silver,2
1968,GDR,Bronze,1
1968,AUT,Gold,3
1968,GDR,Silver,2
1968,FRG,Bronze,1
1968,ITA,Gold,3
1968,FRG,Silver,2
1968,FRA,Bronze,1
1968,AUT,Gold,3
1968,USA,Silver,2
1968,TCH,Bronze,1
1968,USA,Gold,3
1968,GDR,Silver,2
1968,FRG,Bronze,1
1968,FRG,Bronze,1
1968,URS,Gold,3
1968,URS,Gold,3
1968,URS,Silver,2
1968,URS,Silver,2
1968,SWE,Bronze,1
1968,SWE,Gold,3
1968,NOR,Silver,2
1968,USA,Bronze,1
1968,NED,Gold,3
1968,URS,Silver,2
1968,NED,Gold,3
1968,NED,Silver,2
1968,NOR,Silver,2
1968,NED,Bronze,1
1968,FIN,Gold,3
1968,NED,Silver,2
1968,NED,Bronze,1
1968,NED,Gold,3
1968,FIN,Silver,2
1968,NED,Bronze,1
1968,NOR,Gold,3
1968,NED,Silver,2
1968,FRG,Gold,3
1968,NOR,Silver,2
1968,USA,Silver,2
1968,URS,Gold,3
1968,USA,Silver,2
1968,USA,Silver,2
1968,USA,Silver,2
1968,SUI,Bronze,1
1968,FRA,Gold,3
1968,FRA,Silver,2
1968,AUT,Bronze,1
1968,AUT,Gold,3
1968,FRA,Silver,2
1968,AUT,Bronze,1
1968,FRA,Gold,3
1968,SUI,Silver,2
1968,SUI,Bronze,1
1968,CAN,Gold,3
1968,FRA,Silver,2
1968,AUT,Bronze,1
1968,FRA,Gold,3
1968,AUT,Silver,2
1968,FRA,Bronze,1
1968,FRA,Gold,3
1968,CAN,Silver,2
1968,NOR,Bronze,1
1968,SWE,Gold,3
1968,NOR,Silver,2
1968,SWE,Bronze,1
1968,NOR,Gold,3
1968,FIN,Silver,2
1968,FIN,Bronze,1
1968,ITA,Gold,3
1968,NOR,Silver,2
1968,URS,Bronze,1
1968,URS,Bronze,1
1968,URS,Bronze,1
1968,NOR,Gold,3
1968,NOR,Gold,3
1968,NOR,Gold,3
1968,SWE,Silver,2
1968,SWE,Silver,2
1968,SWE,Silver,2
1968,FIN,Bronze,1
1968,FIN,Bronze,1
1968,FIN,Bronze,1
1968,FIN,Bronze,1
1968,NOR,Gold,3
1968,NOR,Gold,3
1968,NOR,Gold,3
1968,NOR,Gold,3
1968,SWE,Silver,2
1968,SWE,Silver,2
1968,SWE,Silver,2
1968,SWE,Silver,2
1968,SUI,Bronze,1
1968,NOR,Gold,3
1968,URS,Silver,2
1968,URS,Bronze,1
1968,SWE,Gold,3
1968,URS,Silver,2
1968,GDR,Bronze,1
1968,FRG,Gold,3
1968,SUI,Silver,2
1968,NOR,Bronze,1
1968,URS,Gold,3
1968,TCH,Silver,2
1968,AUT,Bronze,1
1968,TCH,Gold,3
1968,AUT,Silver,2
1972,SWE,Bronze,1
1972,NOR,Gold,3
1972,GDR,Silver,2
1972,GDR,Bronze,1
1972,GDR,Bronze,1
1972,GDR,Bronze,1
1972,GDR,Bronze,1
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,FIN,Silver,2
1972,FIN,Silver,2
1972,FIN,Silver,2
1972,FIN,Silver,2
1972,FRG,Bronze,1
1972,FRG,Bronze,1
1972,FRG,Bronze,1
1972,FRG,Bronze,1
1972,SUI,Gold,3
1972,SUI,Gold,3
1972,SUI,Gold,3
1972,SUI,Gold,3
1972,ITA,Silver,2
1972,ITA,Silver,2
1972,ITA,Silver,2
1972,ITA,Silver,2
1972,SUI,Bronze,1
1972,SUI,Bronze,1
1972,FRG,Gold,3
1972,FRG,Gold,3
1972,FRG,Silver,2
1972,FRG,Silver,2
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,TCH,Bronze,1
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,USA,Silver,2
1972,GDR,Bronze,1
1972,GDR,Bronze,1
1972,GDR,Gold,3
1972,GDR,Gold,3
1972,ITA,Gold,3
1972,ITA,Gold,3
1972,GDR,Bronze,1
1972,GDR,Gold,3
1972,GDR,Silver,2
1972,GDR,Bronze,1
1972,GDR,Gold,3
1972,GDR,Silver,2
1972,FRA,Bronze,1
1972,TCH,Gold,3
1972,URS,Silver,2
1972,USA,Bronze,1
1972,AUT,Gold,3
1972,CAN,Silver,2
1972,GDR,Bronze,1
1972,GDR,Bronze,1
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Silver,2
1972,URS,Silver,2
1972,NOR,Bronze,1
1972,NED,Gold,3
1972,NED,Silver,2
1972,USA,Bronze,1
1972,FRG,Gold,3
1972,NED,Silver,2
1972,SWE,Bronze,1
1972,NED,Gold,3
1972,NOR,Silver,2
1972,NED,Bronze,1
1972,USA,Gold,3
1972,NED,Silver,2
1972,NED,Bronze,1
1972,NED,Gold,3
1972,USA,Silver,2
1972,NOR,Bronze,1
1972,NED,Gold,3
1972,NOR,Silver,2
1972,URS,Bronze,1
1972,FRG,Gold,3
1972,SWE,Silver,2
1972,URS,Bronze,1
1972,USA,Gold,3
1972,URS,Silver,2
1972,AUT,Bronze,1
1972,SUI,Gold,3
1972,SUI,Silver,2
1972,USA,Bronze,1
1972,SUI,Gold,3
1972,AUT,Silver,2
1972,SUI,Bronze,1
1972,ITA,Gold,3
1972,SUI,Silver,2
1972,AUT,Bronze,1
1972,SUI,Gold,3
1972,AUT,Silver,2
1972,ITA,Bronze,1
1972,ESP,Gold,3
1972,ITA,Silver,2
1972,FRA,Bronze,1
1972,USA,Gold,3
1972,FRA,Silver,2
1972,FIN,Bronze,1
1972,URS,Gold,3
1972,URS,Silver,2
1972,NOR,Bronze,1
1972,SWE,Gold,3
1972,URS,Silver,2
1972,NOR,Bronze,1
1972,URS,Gold,3
1972,NOR,Silver,2
1972,NOR,Bronze,1
1972,NOR,Bronze,1
1972,NOR,Bronze,1
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,FIN,Silver,2
1972,FIN,Silver,2
1972,FIN,Silver,2
1972,SUI,Bronze,1
1972,SUI,Bronze,1
1972,SUI,Bronze,1
1972,SUI,Bronze,1
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,URS,Gold,3
1972,NOR,Silver,2
1972,NOR,Silver,2
1972,NOR,Silver,2
1972,NOR,Silver,2
1972,URS,Bronze,1
1972,NOR,Gold,3
1972,NOR,Silver,2
1972,TCH,Bronze,1
1972,URS,Gold,3
1972,FIN,Silver,2
1972,GDR,Bronze,1
1972,GDR,Gold,3
1972,FIN,Silver,2
1972,GDR,Bronze,1
1972,POL,Gold,3
1972,SUI,Silver,2
1972,JPN,Bronze,1
1972,JPN,Gold,3
1972,JPN,Silver,2
1976,URS,Bronze,1
1976,URS,Gold,3
1976,FIN,Silver,2
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,GDR,Gold,3
1976,GDR,Gold,3
1976,GDR,Gold,3
1976,GDR,Gold,3
1976,SUI,Silver,2
1976,SUI,Silver,2
1976,SUI,Silver,2
1976,SUI,Silver,2
1976,SUI,Bronze,1
1976,SUI,Bronze,1
1976,GDR,Gold,3
1976,GDR,Gold,3
1976,FRG,Silver,2
1976,FRG,Silver,2
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,FRG,Bronze,1
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,TCH,Silver,2
1976,AUT,Bronze,1
1976,AUT,Bronze,1
1976,GDR,Gold,3
1976,GDR,Gold,3
1976,FRG,Silver,2
1976,FRG,Silver,2
1976,GDR,Bronze,1
1976,GDR,Gold,3
1976,FRG,Silver,2
1976,FRG,Bronze,1
1976,GDR,Gold,3
1976,GDR,Silver,2
1976,USA,Bronze,1
1976,USA,Bronze,1
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Silver,2
1976,URS,Silver,2
1976,CAN,Bronze,1
1976,GBR,Gold,3
1976,URS,Silver,2
1976,GDR,Bronze,1
1976,USA,Gold,3
1976,NED,Silver,2
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,URS,Gold,3
1976,URS,Gold,3
1976,GDR,Silver,2
1976,GDR,Silver,2
1976,NED,Bronze,1
1976,NED,Gold,3
1976,NOR,Silver,2
1976,URS,Bronze,1
1976,USA,Gold,3
1976,NOR,Silver,2
1976,USA,Bronze,1
1976,URS,Gold,3
1976,USA,Silver,2
1976,NED,Bronze,1
1976,NOR,Gold,3
1976,URS,Silver,2
1976,URS,Bronze,1
1976,URS,Gold,3
1976,USA,Silver,2
1976,NOR,Bronze,1
1976,URS,Gold,3
1976,GDR,Silver,2
1976,NED,Bronze,1
1976,NOR,Gold,3
1976,NED,Silver,2
1976,USA,Bronze,1
1976,URS,Gold,3
1976,URS,Silver,2
1976,URS,Bronze,1
1976,USA,Gold,3
1976,CAN,Silver,2
1976,ITA,Bronze,1
1976,AUT,Gold,3
1976,SUI,Silver,2
1976,USA,Bronze,1
1976,FRG,Gold,3
1976,AUT,Silver,2
1976,SWE,Bronze,1
1976,SUI,Gold,3
1976,SUI,Silver,2
1976,FRA,Bronze,1
1976,CAN,Gold,3
1976,FRG,Silver,2
1976,LIE,Bronze,1
1976,ITA,Gold,3
1976,ITA,Silver,2
1976,LIE,Bronze,1
1976,FRG,Gold,3
1976,ITA,Silver,2
1976,URS,Bronze,1
1976,URS,Gold,3
1976,FIN,Silver,2
1976,FIN,Bronze,1
1976,URS,Gold,3
1976,URS,Silver,2
1976,URS,Bronze,1
1976,URS,Gold,3
1976,USA,Silver,2
1976,URS,Bronze,1
1976,URS,Bronze,1
1976,URS,Bronze,1
1976,URS,Bronze,1
1976,FIN,Gold,3
1976,FIN,Gold,3
1976,FIN,Gold,3
1976,FIN,Gold,3
1976,NOR,Silver,2
1976,NOR,Silver,2
1976,NOR,Silver,2
1976,NOR,Silver,2
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,GDR,Bronze,1
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,URS,Gold,3
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,FIN,Silver,2
1976,SWE,Bronze,1
1976,NOR,Gold,3
1976,GDR,Silver,2
1976,URS,Bronze,1
1976,FIN,Gold,3
1976,URS,Silver,2
1976,GDR,Bronze,1
1976,GDR,Gold,3
1976,FRG,Silver,2
1976,GDR,Bronze,1
1976,AUT,Gold,3
1976,AUT,Silver,2
1976,AUT,Bronze,1
1976,GDR,Gold,3
1976,GDR,Silver,2
1980,URS,Bronze,1
1980,GDR,Gold,3
1980,URS,Silver,2
1980,GDR,Bronze,1
1980,URS,Gold,3
1980,GDR,Silver,2
1980,FRG,Bronze,1
1980,FRG,Bronze,1
1980,FRG,Bronze,1
1980,FRG,Bronze,1
1980,URS,Gold,3
1980,URS,Gold,3
1980,URS,Gold,3
1980,URS,Gold,3
1980,GDR,Silver,2
1980,GDR,Silver,2
1980,GDR,Silver,2
1980,GDR,Silver,2
1980,GDR,Bronze,1
1980,GDR,Bronze,1
1980,GDR,Bronze,1
1980,GDR,Bronze,1
1980,GDR,Gold,3
1980,GDR,Gold,3
1980,GDR,Gold,3
1980,GDR,Gold,3
1980,SUI,Silver,2
1980,SUI,Silver,2
1980,SUI,Silver,2
1980,SUI,Silver,2
1980,GDR,Bronze,1
1980,GDR,Bronze,1
1980,SUI,Gold,3
1980,SUI,Gold,3
1980,GDR,Silver,2
1980,GDR,Silver,2
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,SWE,Bronze,1
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,USA,Gold,3
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,URS,Silver,2
1980,AUT,Bronze,1
1980,AUT,Bronze,1
1980,GDR,Gold,3
1980,GDR,Gold,3
1980,ITA,Silver,2
1980,ITA,Silver,2
1980,FRG,Bronze,1
1980,GDR,Gold,3
1980,ITA,Silver,2
1980,URS,Bronze,1
1980,URS,Gold,3
1980,GDR,Silver,2
1980,URS,Bronze,1
1980,URS,Bronze,1
1980,URS,Gold,3
1980,URS,Gold,3
1980,HUN,Silver,2
1980,HUN,Silver,2
1980,USA,Bronze,1
1980,GBR,Gold,3
1980,GDR,Silver,2
1980,FRG,Bronze,1
1980,GDR,Gold,3
1980,USA,Silver,2
1980,GDR,Bronze,1
1980,GDR,Bronze,1
1980,URS,Gold,3
1980,URS,Gold,3
1980,URS,Silver,2
1980,URS,Silver,2
1980,NOR,Bronze,1
1980,USA,Gold,3
1980,NED,Silver,2
1980,NOR,Bronze,1
1980,URS,Bronze,1
1980,USA,Gold,3
1980,CAN,Silver,2
1980,GDR,Bronze,1
1980,URS,Gold,3
1980,USA,Silver,2
1980,NOR,Bronze,1
1980,USA,Gold,3
1980,NOR,Silver,2
